Fidelity Select Portfolios: Computers Portfolio | FDCPX | [31.81, 32.04, 28.23, 26.24, 27.31, 29.48, 31.24, 32.27, 30.61, 31.81, 30.67, 28.55, 31.5, 30.95, 33.11, 32.69, 32.63, 31.2, 33.39, 33.13, 34.69, 34.48, 34.59, 34.93, 32.49, 31.33, 29.68, 32.47, 33.41, 34.71, 36.35, 36.26, 37.39, 36.07, 36.39, 37.23, 39.69, 40.19, 40.75, 42.28, 43.79, 48.48, 44.25, 44.39, 36.1, 36.96, 36.4, 39.7, 41.99, 37.41, 37.04, 37.76, 32.08, 26.73, 23.15, 22.85, 22.91, 21.53, 24.66, 28.06, 28.67, 30.36, 33.88, 35.72, 38.52, 36.87, 38.66, 41.86, 37.86, 40.02, 42.61, 44.24, 42.2, 39.89, 42.17, 39.65, 45.61, 48.55, 49.33, 51.8, 53.05, 54.92, 54.64, 57.06, 55.65, 54.58, 53.04, 47.61, 45.4, 51.84, 50.61, 49.48, 55.16, 59.58, 62.0, 60.75, 54.64, 56.02, 57.02, 58.91, 59.57, 54.46, 55.25, 56.55, 59.08, 59.37, 62.66, 60.95, 65.37, 63.05, 67.01, 65.96, 66.84, 68.39, 71.76, 74.12, 72.39, 75.46, 77.03, 74.78]
Fidelity Select Portfolios: Electronics Portfolio | FSELX | [40.0, 38.7, 33.1, 30.01, 31.61, 33.8, 34.81, 36.32, 34.67, 37.43, 36.05, 34.28, 37.93, 37.66, 41.01, 40.4, 40.68, 37.62, 41.99, 42.04, 46.03, 44.8, 44.54, 45.93, 41.58, 40.39, 38.03, 40.79, 40.67, 41.45, 43.24, 42.17, 42.73, 44.4, 43.09, 45.84, 46.15, 47.61, 47.22, 47.74, 48.87, 48.19, 44.11, 44.14, 37.17, 35.98, 36.24, 39.13, 41.38, 37.21, 35.16, 36.41, 30.03, 25.02, 21.02, 22.13, 21.02, 20.65, 23.97, 27.47, 28.87, 29.69, 34.66, 36.17, 37.29, 34.03, 35.85, 40.95, 36.65, 39.13, 42.31, 43.08, 40.17, 36.78, 37.93, 34.2, 39.48, 42.76, 43.77, 47.84, 51.48, 52.78, 50.06, 53.59, 53.49, 49.69, 47.88, 43.11, 41.31, 46.46, 44.63, 43.78, 50.38, 52.77, 54.13, 50.83, 44.89, 46.13, 45.63, 46.55, 44.62, 42.05, 43.59, 45.36, 48.08, 49.5, 50.87, 49.88, 53.8, 53.4, 56.22, 55.35, 57.99, 58.55, 59.24, 63.13, 63.5, 68.32, 70.67, 69.59]
Fidelity Select Portfolios: Telecommunications Portfolio | FSTCX | [28.02, 28.72, 28.36, 27.78, 28.83, 29.74, 31.3, 32.34, 30.61, 30.3, 29.73, 29.41, 31.11, 31.46, 33.11, 32.65, 33.06, 32.57, 34.23, 34.0, 35.57, 36.82, 38.85, 38.39, 36.33, 36.96, 36.61, 38.54, 40.23, 41.23, 41.3, 43.11, 45.64, 45.18, 45.8, 46.84, 51.04, 50.97, 49.79, 50.19, 52.91, 51.57, 47.52, 46.65, 41.15, 38.28, 37.24, 40.26, 41.2, 36.56, 36.46, 37.13, 31.31, 23.23, 23.61, 24.43, 23.72, 24.5, 26.67, 29.97, 31.38, 31.65, 33.08, 32.32, 34.49, 32.76, 35.14, 37.02, 34.23, 34.9, 36.96, 37.24, 36.03, 34.87, 37.8, 37.18, 41.01, 41.75, 41.1, 43.81, 43.21, 44.4, 45.51, 47.39, 48.88, 47.62, 44.89, 43.36, 39.54, 41.31, 41.37, 41.96, 41.78, 44.3, 44.64, 44.4, 43.29, 45.86, 48.06, 48.19, 50.31, 49.2, 48.93, 49.77, 51.15, 50.63, 52.4, 56.49, 54.3, 55.04, 56.4, 54.49, 56.83, 59.76, 58.79, 60.49, 59.31, 58.93, 60.61, 58.41]
Vanguard Fixed Income Securities Funds: Vanguard Long-Term Treasury Fund; Investor Shares | VUSTX | [6.17, 6.22, 6.32, 6.53, 6.6, 6.69, 6.54, 6.69, 6.86, 6.78, 6.73, 6.94, 7.12, 7.24, 7.05, 7.25, 7.05, 6.93, 6.97, 7.13, 7.07, 7.13, 6.88, 6.75, 6.75, 6.79, 6.92, 7.11, 7.22, 7.28, 7.42, 7.26, 7.2, 7.41, 7.33, 7.39, 7.25, 7.18, 7.35, 7.5, 7.52, 7.62, 7.96, 7.93, 8.14, 8.17, 8.26, 8.1, 7.93, 8.07, 8.1, 8.25, 8.27, 7.97, 8.93, 9.72, 8.9, 8.81, 9.28, 8.81, 8.58, 8.64, 8.71, 8.86, 9.03, 8.9, 9.07, 8.56, 8.79, 8.77, 8.63, 8.84, 9.22, 9.65, 9.63, 10.31, 10.12, 9.79, 9.64, 9.29, 9.07, 9.18, 9.18, 9.37, 9.68, 9.49, 9.88, 10.74, 11.83, 11.44, 11.65, 12.01, 12.02, 11.77, 11.33, 11.82, 12.74, 12.56, 12.97, 12.83, 12.57, 12.51, 12.68, 12.43, 12.02, 12.18, 12.18, 12.65, 11.86, 11.48, 11.26, 11.11, 11.21, 11.36, 11.07, 10.81, 11.49, 11.56, 11.62, 11.81]
Van Eck Funds: Emerging Markets Fund; Class A Shares | GBFAX | [4.79, 4.66, 4.57, 4.82, 5.13, 5.33, 5.85, 6.08, 6.29, 6.65, 6.37, 6.27, 6.22, 6.45, 6.76, 6.78, 7.43, 6.99, 7.38, 7.89, 8.75, 8.92, 9.22, 9.77, 8.9, 8.75, 8.95, 9.15, 9.28, 9.55, 10.38, 10.97, 11.04, 11.21, 11.66, 12.27, 13.17, 13.75, 14.22, 13.61, 14.69, 15.89, 14.95, 14.89, 13.12, 13.2, 12.12, 13.28, 13.74, 12.14, 11.47, 10.25, 7.73, 5.11, 4.53, 4.73, 4.44, 4.21, 4.79, 6.01, 7.72, 7.63, 8.65, 8.78, 9.52, 9.5, 9.99, 10.44, 9.86, 10.0, 10.76, 11.07, 10.03, 10.17, 11.06, 10.97, 12.3, 12.92, 12.91, 13.45, 13.0, 12.66, 13.15, 13.88, 13.51, 13.18, 13.21, 11.99, 9.77, 10.98, 10.45, 9.88, 11.13, 12.06, 12.01, 11.86, 10.63, 10.77, 10.91, 11.09, 11.74, 11.95, 12.33, 12.7, 13.53, 13.58, 13.55, 13.96, 14.05, 12.98, 12.93, 12.44, 13.3, 14.03, 14.16, 14.26, 13.71, 14.16, 14.32, 14.2]
Fidelity Investment Trust: Fidelity International Discovery Fund | FIGRX | [19.06, 19.52, 18.49, 18.56, 18.99, 19.72, 21.14, 22.19, 21.9, 22.85, 22.12, 21.82, 21.91, 22.4, 23.16, 23.93, 24.96, 24.15, 24.83, 26.35, 28.29, 27.74, 28.92, 30.21, 28.68, 28.45, 28.68, 29.45, 29.43, 30.51, 31.57, 32.73, 32.95, 32.75, 33.76, 35.34, 36.53, 36.62, 36.41, 36.04, 38.7, 41.14, 39.39, 38.94, 35.07, 35.17, 34.47, 36.28, 36.99, 34.38, 32.87, 31.12, 27.1, 21.59, 20.25, 21.7, 19.33, 17.69, 18.77, 20.72, 23.34, 22.94, 25.19, 26.09, 27.22, 26.44, 27.56, 28.23, 26.66, 26.58, 28.47, 28.03, 25.04, 24.45, 26.96, 25.86, 28.85, 30.1, 29.02, 31.36, 31.45, 32.48, 31.89, 34.0, 32.69, 32.14, 31.95, 29.27, 25.68, 28.18, 27.18, 26.58, 27.98, 29.47, 29.81, 29.68, 26.65, 28.25, 28.58, 29.55, 30.59, 30.72, 31.45, 32.41, 33.55, 33.37, 34.11, 35.76, 35.1, 34.0, 35.94, 34.96, 37.63, 39.03, 39.49, 40.5, 38.49, 40.55, 39.95, 39.72]
Fidelity Concord Street Trust: Spartan 500 Index Fund; Investor Class Shares | FUSEX | [32.85, 33.48, 32.38, 32.5, 32.71, 33.34, 34.69, 35.87, 35.0, 35.72, 35.1, 34.43, 35.52, 35.57, 36.89, 36.56, 36.85, 36.23, 37.6, 37.61, 38.61, 38.71, 39.19, 39.72, 38.57, 38.62, 38.85, 39.78, 40.8, 42.12, 42.92, 43.52, 44.18, 43.31, 43.79, 45.73, 47.32, 46.53, 45.09, 45.77, 47.48, 48.24, 46.21, 45.89, 43.13, 41.74, 41.55, 43.57, 44.14, 40.41, 40.07, 40.65, 37.02, 30.8, 28.59, 28.89, 26.47, 23.64, 25.72, 28.19, 29.76, 29.83, 32.08, 33.24, 34.48, 33.83, 35.86, 36.55, 35.24, 36.33, 38.52, 38.96, 35.85, 33.98, 36.36, 34.72, 37.81, 39.24, 39.25, 41.86, 42.86, 44.32, 44.34, 45.65, 45.13, 44.37, 43.47, 41.1, 38.21, 42.38, 42.28, 42.71, 44.62, 46.55, 48.08, 47.77, 44.9, 46.74, 47.39, 48.46, 49.71, 48.79, 49.06, 49.51, 52.07, 52.76, 54.74, 55.79, 57.09, 56.32, 59.19, 57.47, 59.27, 61.99, 63.87, 65.48, 63.21, 66.1, 66.65, 66.85]
T Rowe Price Media & Telecommunications Fund, Inc | PRMTX | [16.28, 16.58, 15.57, 15.18, 16.04, 16.92, 18.08, 18.98, 18.23, 18.49, 18.17, 17.95, 19.01, 19.53, 20.66, 20.89, 21.36, 20.92, 22.08, 22.43, 23.66, 23.5, 24.29, 25.38, 23.91, 24.13, 23.48, 24.53, 25.57, 27.19, 28.42, 28.83, 30.22, 29.53, 29.95, 31.43, 34.0, 33.69, 34.16, 33.64, 35.82, 37.44, 35.02, 35.16, 30.81, 30.31, 29.79, 32.55, 33.5, 29.51, 29.17, 29.48, 25.17, 19.7, 17.56, 18.8, 18.02, 17.24, 18.79, 21.89, 23.19, 23.55, 25.77, 26.38, 29.13, 28.08, 30.4, 31.68, 29.94, 31.02, 33.54, 34.65, 32.29, 30.69, 33.47, 32.22, 36.29, 38.22, 38.25, 40.17, 40.93, 42.97, 43.06, 45.19, 44.52, 43.57, 43.56, 41.28, 37.56, 41.0, 40.06, 40.16, 42.75, 45.3, 47.16, 46.79, 44.1, 46.11, 46.73, 48.27, 50.42, 49.06, 48.38, 49.33, 51.14, 51.33, 52.98, 55.19, 55.1, 55.65, 59.06, 59.07, 62.8, 65.42, 66.78, 69.46, 67.78, 71.66, 68.15, 65.92]
Fidelity Investment Trust: Fidelity Emerging Markets Fund | FEMKX | [8.91, 8.8, 8.53, 8.9, 9.47, 9.72, 10.56, 11.22, 11.38, 12.42, 11.55, 11.23, 11.68, 12.06, 12.97, 13.21, 14.53, 13.68, 15.09, 16.24, 18.37, 18.13, 18.59, 19.99, 17.75, 17.59, 17.9, 18.37, 18.4, 19.4, 20.78, 21.66, 21.45, 21.36, 22.45, 23.59, 24.99, 25.95, 27.19, 26.44, 29.49, 33.35, 31.11, 31.42, 27.46, 29.05, 27.23, 29.53, 30.55, 27.57, 25.5, 23.16, 18.69, 12.73, 11.49, 12.31, 11.25, 10.64, 11.92, 13.72, 16.46, 16.26, 18.11, 18.1, 19.92, 19.6, 20.84, 21.67, 20.41, 20.43, 22.13, 22.29, 20.18, 19.89, 21.71, 21.29, 23.77, 24.65, 24.16, 25.62, 24.82, 24.64, 25.99, 27.07, 26.14, 25.56, 25.88, 23.49, 19.42, 21.61, 21.17, 20.23, 22.0, 23.2, 22.75, 22.63, 19.96, 20.61, 20.86, 20.78, 21.86, 21.84, 22.21, 23.19, 23.42, 23.6, 23.66, 24.09, 23.66, 22.18, 22.51, 21.53, 23.2, 24.41, 24.21, 24.09, 22.41, 23.69, 24.13, 24.12]
Fidelity Mt Vernon Street Trust: Fidelity Growth Strategies Fund | FDEGX | [15.48, 15.88, 14.51, 14.37, 14.92, 15.16, 15.77, 16.41, 15.76, 15.49, 15.11, 14.84, 15.89, 16.14, 17.03, 17.07, 17.21, 16.68, 17.32, 17.64, 18.92, 18.35, 18.75, 18.74, 17.39, 17.16, 16.55, 17.19, 17.49, 18.41, 19.49, 19.21, 19.67, 19.67, 19.69, 20.7, 21.49, 21.87, 22.2, 22.1, 23.46, 24.88, 22.55, 22.82, 19.98, 19.25, 18.21, 19.62, 20.74, 19.48, 18.49, 17.69, 15.33, 12.27, 11.18, 11.58, 10.99, 10.3, 11.36, 12.47, 13.11, 12.96, 13.91, 14.44, 15.21, 14.25, 15.18, 16.17, 15.32, 16.25, 17.54, 18.07, 16.58, 15.62, 16.81, 15.99, 17.78, 18.26, 18.87, 20.31, 20.6, 21.12, 21.4, 22.12, 21.9, 21.37, 21.23, 19.36, 16.88, 19.27, 18.93, 18.49, 20.12, 20.87, 21.11, 20.58, 18.95, 19.4, 19.3, 19.96, 20.27, 19.91, 20.43, 20.67, 21.97, 22.33, 23.11, 23.4, 24.02, 23.97, 25.28, 24.78, 25.96, 26.76, 27.61, 28.5, 27.6, 29.09, 28.83, 28.63]
